bkg,Sup_normal,Sup_TMath
0.665010,3.020000,3.020000
0.666010,3.020000,3.020000
0.667010,3.030000,3.030000
0.668010,3.030000,3.030000
0.669010,3.030000,3.030000
0.670010,3.030000,3.030000
0.671010,3.030000,3.030000
0.672010,3.030000,3.030000
0.673010,3.030000,3.030000
0.674010,3.030000,3.030000
0.675010,3.030000,3.030000
0.676010,3.030000,3.030000
0.677010,3.030000,3.030000
0.678010,3.030000,3.030000
0.679010,3.040000,3.040000
0.680010,3.040000,3.040000
0.681010,3.040000,3.040000
0.682010,3.040000,3.040000
0.683010,3.040000,3.040000
0.684010,3.040000,3.040000
0.685010,3.040000,3.040000
0.686010,3.040000,3.040000
0.687010,3.040000,3.040000
0.688010,3.040000,3.040000
0.689010,3.040000,3.040000
0.690010,3.040000,3.040000
0.691010,3.040000,3.040000
0.692010,3.050000,3.050000
0.693010,3.050000,3.050000
0.694010,3.050000,3.050000
0.695010,3.050000,3.050000
0.696010,3.050000,3.050000
0.697010,3.050000,3.050000
0.698010,3.050000,3.050000
0.699010,3.050000,3.050000
0.700010,3.050000,3.050000
0.701010,3.050000,3.050000
0.702010,3.050000,3.050000
0.703010,3.050000,3.050000
0.704010,3.060000,3.060000
0.705010,3.060000,3.060000
0.706010,3.060000,3.060000
0.707010,3.060000,3.060000
0.708010,3.060000,3.060000
0.709010,3.060000,3.060000
0.710010,3.060000,3.060000
0.711010,3.060000,3.060000
0.712010,3.060000,3.060000
0.713010,3.060000,3.060000
0.714010,3.060000,3.060000
0.715010,3.060000,3.060000
0.716010,3.060000,3.060000
0.717010,3.070000,3.070000
0.718010,3.070000,3.070000
0.719010,3.070000,3.070000
0.720010,3.070000,3.070000
0.721010,3.070000,3.070000
0.722010,3.070000,3.070000
0.723010,3.070000,3.070000
0.724010,3.070000,3.070000
0.725010,3.070000,3.070000
0.726010,3.070000,3.070000
0.727010,3.070000,3.070000
0.728010,3.070000,3.070000
0.729010,3.080000,3.080000
0.730010,3.080000,3.080000
0.731010,3.080000,3.080000
0.732010,3.080000,3.080000
0.733010,3.080000,3.080000
0.734010,3.080000,3.080000
0.735010,3.080000,3.080000
0.736010,3.080000,3.080000
0.737010,3.080000,3.080000
0.738010,3.080000,3.080000
0.739010,3.080000,3.080000
0.740010,3.080000,3.080000
0.741010,3.080000,3.080000
0.742010,3.090000,3.090000
0.743010,3.090000,3.090000
0.744010,3.090000,3.090000
0.745010,3.090000,3.090000
0.746010,3.090000,3.090000
0.747010,3.090000,3.090000
0.748010,3.090000,3.090000
0.749010,3.090000,3.090000
0.750010,3.090000,3.090000
0.751010,3.090000,3.090000
0.752010,3.090000,3.090000
0.753010,3.090000,3.090000
0.754010,3.090000,3.090000
0.755010,3.100000,3.100000
0.756010,3.100000,3.100000
0.757010,3.100000,3.100000
0.758010,3.100000,3.100000
0.759010,3.100000,3.100000
0.760010,3.100000,3.100000
0.761010,3.100000,3.100000
0.762010,3.100000,3.100000
0.763010,3.100000,3.100000
0.764010,3.100000,3.100000
0.765010,3.100000,3.100000
0.766010,3.100000,3.100000
0.767010,3.100000,3.100000
0.768010,3.110000,3.110000
0.769010,3.110000,3.110000
0.770010,3.110000,3.110000
0.771010,3.110000,3.110000
0.772010,3.110000,3.110000
0.773010,3.110000,3.110000
0.774010,3.110000,3.110000
0.775010,3.110000,3.110000
0.776010,3.110000,3.110000
0.777010,3.110000,3.110000
0.778010,3.110000,3.110000
0.779010,3.110000,3.110000
0.780010,3.110000,3.110000
0.781010,3.120000,3.120000
0.782010,3.120000,3.120000
0.783010,3.120000,3.120000
0.784010,3.120000,3.120000
0.785010,3.120000,3.120000
0.786010,3.120000,3.120000
0.787010,3.120000,3.120000
0.788010,3.120000,3.120000
0.789010,3.120000,3.120000
0.790010,3.120000,3.120000
0.791010,3.120000,3.120000
0.792010,3.120000,3.120000
0.793010,3.120000,3.120000
0.794010,3.130000,3.130000
0.795010,3.130000,3.130000
0.796010,3.130000,3.130000
0.797010,3.130000,3.130000
0.798010,3.130000,3.130000
0.799010,3.130000,3.130000
0.800010,3.130000,3.130000
0.801010,3.130000,3.130000
0.802010,3.130000,3.130000
0.803010,3.130000,3.130000
0.804010,3.130000,3.130000
0.805010,3.130000,3.130000
0.806010,3.130000,3.130000
0.807010,3.140000,3.140000
0.808010,3.140000,3.140000
0.809010,3.140000,3.140000
0.810010,3.140000,3.140000
0.811010,3.140000,3.140000
0.812010,3.140000,3.140000
0.813010,3.140000,3.140000
0.814010,3.140000,3.140000
0.815010,3.140000,3.140000
0.816010,3.140000,3.140000
0.817010,3.140000,3.140000
0.818010,3.140000,3.140000
0.819010,3.140000,3.140000
0.820010,3.150000,3.150000
0.821010,3.150000,3.150000
0.822010,3.150000,3.150000
0.823010,3.150000,3.150000
0.824010,3.150000,3.150000
0.825010,3.150000,3.150000
0.826010,3.150000,3.150000
0.827010,3.150000,3.150000
0.828010,3.150000,3.150000
0.829010,3.150000,3.150000
0.830010,3.150000,3.150000
0.831010,3.150000,3.150000
0.832010,3.150000,3.150000
0.833010,3.160000,3.160000
0.834010,3.160000,3.160000
0.835010,3.160000,3.160000
0.836010,3.160000,3.160000
0.837010,3.160000,3.160000
0.838010,3.160000,3.160000
0.839010,3.160000,3.160000
0.840010,3.160000,3.160000
0.841010,3.160000,3.160000
0.842010,3.160000,3.160000
0.843010,3.160000,3.160000
0.844010,3.160000,3.160000
0.845010,3.160000,3.160000
0.846010,3.170000,3.170000
0.847010,3.170000,3.170000
0.848010,3.170000,3.170000
0.849010,3.170000,3.170000
0.850010,3.170000,3.170000
0.851010,3.170000,3.170000
0.852010,3.170000,3.170000
0.853010,3.170000,3.170000
0.854010,3.170000,3.170000
0.855010,3.170000,3.170000
0.856010,3.170000,3.170000
0.857010,3.170000,3.170000
0.858010,3.170000,3.170000
0.859010,3.170000,3.170000
0.860010,3.180000,3.180000
0.861010,3.180000,3.180000
0.862010,3.180000,3.180000
0.863010,3.180000,3.180000
0.864010,3.180000,3.180000
0.865010,3.180000,3.180000
0.866010,3.180000,3.180000
0.867010,3.180000,3.180000
0.868010,3.180000,3.180000
0.869010,3.180000,3.180000
0.870010,3.180000,3.180000
0.871010,3.180000,3.180000
0.872010,3.180000,3.180000
0.873010,3.190000,3.190000
0.874010,3.190000,3.190000
0.875010,3.190000,3.190000
0.876010,3.190000,3.190000
0.877010,3.190000,3.190000
0.878010,3.190000,3.190000
0.879010,3.190000,3.190000
0.880010,3.190000,3.190000
0.881010,3.190000,3.190000
0.882010,3.190000,3.190000
0.883010,3.190000,3.190000
0.884010,3.190000,3.190000
0.885010,3.190000,3.190000
0.886010,3.190000,3.190000
0.887010,3.200000,3.200000
0.888010,3.200000,3.200000
0.889010,3.200000,3.200000
0.890010,3.200000,3.200000
0.891010,3.200000,3.200000
0.892010,3.200000,3.200000
0.893010,3.200000,3.200000
0.894010,3.200000,3.200000
0.895010,3.200000,3.200000
0.896010,3.200000,3.200000
0.897010,3.200000,3.200000
0.898010,3.200000,3.200000
0.899010,3.200000,3.200000
0.900010,3.210000,3.210000
0.901010,3.210000,3.210000
0.902010,3.210000,3.210000
0.903010,3.210000,3.210000
0.904010,3.210000,3.210000
0.905010,3.210000,3.210000
0.906010,3.210000,3.210000
0.907010,3.210000,3.210000
0.908010,3.210000,3.210000
0.909010,3.210000,3.210000
0.910010,3.210000,3.210000
0.911010,3.210000,3.210000
0.912010,3.210000,3.210000
0.913010,3.210000,3.210000
0.914010,3.220000,3.220000
0.915010,3.220000,3.220000
0.916010,3.220000,3.220000
0.917010,3.220000,3.220000
0.918010,3.220000,3.220000
0.919010,3.220000,3.220000
0.920010,3.220000,3.220000
0.921010,3.220000,3.220000
0.922010,3.220000,3.220000
0.923010,3.220000,3.220000
0.924010,3.220000,3.220000
0.925010,3.220000,3.220000
0.926010,3.220000,3.220000
0.927010,3.220000,3.220000
