WFRMS, V_rate
3.25, 100.05205
3.30, 100.05205
3.35, 100.05205
3.40, 100.05205
3.45, 100.05205
3.50, 100.05205
3.55, 100.05205
3.60, 100.05205
3.65, 100.05205
3.70, 100.05205
3.75, 100.05205
3.80, 100.05205
3.85, 100.05205
3.90, 100.05205
3.95, 100.05205
4.00, 100.05205
4.05, 100.05205
4.10, 100.05205
4.15, 100.05205
4.20, 100.05205
4.25, 100.05205
4.30, 100.05205
4.35, 100.05205
4.40, 100.05205
4.45, 100.05205
4.50, 100.05205
4.55, 100.05205
4.60, 100.05205
4.65, 100.05205
4.70, 100.05205
4.75, 100.05205
4.80, 100.05205
4.85, 100.05205
4.90, 100.05205
4.95, 100.05205
WFRMS, V_rate
-5.00, 0.07996
-4.95, 0.07996
-4.90, 0.07996
-4.85, 0.07996
-4.80, 0.07996
-4.75, 0.07996
-4.70, 0.07996
-4.65, 0.07996
-4.60, 0.07996
-4.55, 0.07996
-4.50, 0.07996
-4.45, 0.07996
-4.40, 0.07996
-4.35, 0.07996
-4.30, 0.07996
-4.25, 0.07996
-4.20, 0.07996
-4.15, 0.07996
-4.10, 0.07996
-4.05, 0.15990
-4.00, 0.15990
-3.95, 0.15990
-3.90, 0.15990
-3.85, 0.15990
-3.80, 0.15990
-3.75, 0.15990
-3.70, 0.23988
-3.65, 0.23988
-3.60, 0.23988
-3.55, 0.23988
-3.50, 0.39980
-3.45, 0.47977
-3.40, 0.47977
-3.35, 0.55965
-3.30, 0.71958
-3.25, 0.79953
-3.20, 1.03933
-3.15, 1.19927
-3.10, 1.43918
-3.05, 1.43918
-3.00, 1.51915
-2.95, 1.67905
-2.90, 1.99887
-2.85, 2.39852
-2.80, 2.47843
-2.75, 3.11802
-2.70, 3.67755
-2.65, 4.39729
-2.60, 5.27684
-2.55, 6.87552
-2.50, 7.91482
-2.45, 9.19409
-2.40, 10.95289
-2.35, 12.47199
-2.30, 14.71044
-2.25, 16.62886
-2.20, 18.30774
-2.15, 21.82478
-2.10, 24.30244
-2.05, 28.13973
-2.00, 33.09637
-1.95, 37.97156
-1.90, 43.80625
-1.85, 50.68014
-1.80, 57.07437
-1.75, 65.30758
-1.70, 70.42316
-1.65, 76.97822
-1.60, 82.57318
-1.55, 85.61043
-1.50, 87.44943
-1.45, 88.64839
-1.40, 89.60778
-1.35, 90.80683
-1.30, 91.28648
-1.25, 91.68612
-1.20, 91.92597
-1.15, 92.24567
-1.10, 92.64551
-1.05, 92.96542
-1.00, 93.12535
-0.95, 93.36489
-0.90, 93.60479
-0.85, 93.68477
-0.80, 93.68477
-0.75, 93.68477
-0.70, 93.68477
-0.65, 93.68477
-0.60, 93.68477
-0.55, 93.68477
-0.50, 93.68477
-0.45, 93.68477
-0.40, 93.76473
-0.35, 93.76473
-0.30, 93.76473
-0.25, 93.76473
-0.20, 93.76473
-0.15, 93.84471
-0.10, 93.84471
-0.05, 93.84471
0.00, 93.84471
0.05, 93.84471
0.10, 93.84471
0.15, 93.92468
0.20, 93.92468
0.25, 93.92468
0.30, 93.92468
0.35, 93.92468
0.40, 93.92468
0.45, 93.92468
0.50, 93.92468
0.55, 93.92468
0.60, 93.92468
0.65, 93.92468
0.70, 93.92468
0.75, 93.92468
0.80, 93.92468
0.85, 93.92468
0.90, 93.92468
0.95, 93.92468
1.00, 93.92468
1.05, 93.92468
1.10, 93.92468
1.15, 93.92468
1.20, 93.92468
1.25, 93.92468
1.30, 93.92468
1.35, 93.92468
1.40, 93.92468
1.45, 93.92468
1.50, 93.92468
1.55, 93.92468
1.60, 93.92468
1.65, 93.92468
1.70, 93.92468
1.75, 93.92468
1.80, 93.92468
1.85, 93.92468
1.90, 93.92468
1.95, 93.92468
2.00, 93.92468
2.05, 93.92468
2.10, 93.92468
2.15, 93.92468
2.20, 93.92468
2.25, 93.92468
2.30, 93.92468
2.35, 93.92468
2.40, 93.92468
2.45, 93.92468
2.50, 93.92468
2.55, 93.92468
2.60, 93.92468
2.65, 93.92468
2.70, 93.92468
2.75, 93.92468
2.80, 93.92468
2.85, 93.92468
2.90, 93.92468
2.95, 93.92468
3.00, 93.92468
3.05, 100.15955
3.10, 100.15955
3.15, 100.15955
3.20, 100.15955
3.25, 100.15955
3.30, 100.15955
3.35, 100.15955
3.40, 100.15955
3.45, 100.15955
3.50, 100.15955
3.55, 100.15955
3.60, 100.15955
3.65, 100.15955
3.70, 100.15955
3.75, 100.15955
3.80, 100.15955
3.85, 100.15955
3.90, 100.15955
3.95, 100.15955
4.00, 100.15955
4.05, 100.15955
4.10, 100.15955
4.15, 100.15955
4.20, 100.15955
4.25, 100.15955
4.30, 100.15955
4.35, 100.15955
4.40, 100.15955
4.45, 100.15955
4.50, 100.15955
4.55, 100.15955
4.60, 100.15955
4.65, 100.15955
4.70, 100.15955
4.75, 100.15955
4.80, 100.15955
4.85, 100.15955
4.90, 100.15955
4.95, 100.15955
--------------------------------------
WFRMS, H_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
-4.00, 0.00000
-3.95, 0.00000
-3.90, 0.00000
-3.85, 0.00000
-3.80, 0.00000
-3.75, 0.00000
-3.70, 0.00000
-3.65, 0.00000
-3.60, 0.00000
-3.55, 0.00000
-3.50, 0.00000
-3.45, 0.00000
-3.40, 0.00000
-3.35, 0.00000
