Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
140711A,166.01,-24.6,8.46,80.89,80.89,7/11/14 16:35,0.567,-3.07,77.82,80.89,1.05,2.25,205,2.39E-06,0.008,1,2.15,1.50E-15,0.74,3.17,0.75,1.95,3.95,24.656344,97.618087,24.725406,75.995565
130604B,292.18,-24.86,1.21,26.88,26.88,6/4/13 0:48,0.322,-0.26,26.62,26.88,1.05,2.25,205,1.75E-05,0.008,1,2.15,1.09E-14,0.74,3.17,0.75,1.95,3.95,24.688976,137.476159,24.749351,115.87524
130527A,309.276,-24.725,0.0003,94.7,7.4,5/27/13 14:21,0,-1,93.7,38.656,1.04,3.04,1380,1.10E-04,0.02,10,2.15,8.91E-13,0.05,3.17,-0.04,1.96,3.96,24.816041,318.458899,24.756273,296.824825
160203A,161.951,-24.789,0.0003,24.32,20.2,2/3/16 2:13,0,1.46,25.78,24.32,1.93,2.93,200,1.20E-06,0.015,0.15,3.52,2.68E-15,0.17,2.21,0.07,1.07,3.07,24.82325,105.938798,24.893249,84.320923
140511B,26.25,-24.91,3.58,59.13,59.13,5/11/14 23:53,0.495,-1.02,58.11,59.13,1.05,2.25,205,6.75E-06,0.008,1,2.15,4.22E-15,0.74,3.17,0.75,1.95,3.95,24.832654,268.057336,24.766457,246.450632
140311D,39.04,-25.23,5.29,14.91,14.91,3/11/14 10:52,0.868,-1.02,13.89,14.91,1.05,2.25,205,3.70E-06,0.008,1,2.15,2.32E-15,0.74,3.17,0.75,1.95,3.95,24.983693,176.862007,25.007854,155.275405
140109B,24.09,-25.05,37.45,3.32,3.32,1/9/14 21:03,0.385,-1.02,2.3,3.32,1.05,2.25,205,1.49E-07,0.008,1,2.15,9.34E-17,0.74,3.17,0.75,1.95,3.95,25.05025,68.864383,25.105261,47.22688
130907B,236.63,-25.1,7.37,3.14,3.14,9/7/13 18:14,0.587,-0.32,2.82,3.14,1.05,2.25,205,2.61E-07,0.008,1,2.15,1.63E-16,0.74,3.17,0.75,1.95,3.95,25.154714,85.952552,25.220023,64.323451
130611A,238.84,-25.23,2.97,66.81,66.81,6/11/13 12:54,0.87,0.26,67.07,66.81,1.05,2.25,205,7.44E-06,0.008,1,2.15,4.66E-15,0.74,3.17,0.75,1.95,3.95,25.22004,255.056785,25.160666,233.456998
160612A,348.364,-25.375,0.05,0.38,0.38,6/12/16 20:12,0.549,-0.22,0.16,0.448,0.7,2.7,1148,9.80E-07,0.01,1,0.5,2.31E-15,0.27,2.1,0.3,2.3,4.3,25.229105,253.424111,25.170812,231.825121
