WFRMS, V_rate
-4.00, 0.00000
-3.95, 0.00000
-3.90, 0.00000
-3.85, 0.00000
-3.80, 0.00000
-3.75, 0.00000
-3.70, 0.00013
-3.65, 0.00013
-3.60, 0.00013
-3.55, 0.00013
-3.50, 0.00026
-3.45, 0.00051
-3.40, 0.00051
-3.35, 0.00064
-3.30, 0.00064
-3.25, 0.00077
-3.20, 0.00089
-3.15, 0.00089
-3.10, 0.00115
-3.05, 0.00179
-3.00, 0.00230
-2.95, 0.00255
-2.90, 0.00370
-2.85, 0.00459
-2.80, 0.00523
-2.75, 0.00612
-2.70, 0.00765
-2.65, 0.01033
-2.60, 0.01313
-2.55, 0.01556
-2.50, 0.01938
-2.45, 0.02359
-2.40, 0.02882
-2.35, 0.03570
-2.30, 0.04578
-2.25, 0.05661
-2.20, 0.07153
-2.15, 0.09219
-2.10, 0.11540
-2.05, 0.14268
-2.00, 0.18183
-1.95, 0.22710
-1.90, 0.28473
-1.85, 0.35830
-1.80, 0.45164
-1.75, 0.56678
-1.70, 0.71355
-1.65, 0.88620
-1.60, 1.09212
-1.55, 1.35301
-1.50, 1.65827
-1.45, 2.02563
-1.40, 2.44883
-1.35, 2.95033
-1.30, 3.52770
-1.25, 4.15836
-1.20, 4.87204
-1.15, 5.64207
-1.10, 6.48313
-1.05, 7.35351
-1.00, 8.25539
-0.95, 9.16696
-0.90, 10.08529
-0.85, 10.99648
-0.80, 11.90601
-0.75, 12.77945
-0.70, 13.66565
-0.65, 14.50735
-0.60, 15.29536
-0.55, 16.05889
-0.50, 16.75726
-0.45, 17.39838
-0.40, 18.01018
-0.35, 18.62337
-0.30, 19.18442
-0.25, 19.73781
-0.20, 20.26201
-0.15, 20.78072
-0.10, 21.26921
-0.05, 21.73768
0.00, 22.20501
0.05, 22.65168
0.10, 23.08355
0.15, 23.50102
0.20, 23.89426
0.25, 24.27399
0.30, 24.61674
0.35, 24.90465
0.40, 25.14450
0.45, 25.33373
0.50, 25.46876
0.55, 25.55521
0.60, 25.60418
0.65, 25.63006
0.70, 25.63988
0.75, 25.64460
0.80, 25.64511
0.85, 25.64511
0.90, 25.64511
0.95, 25.64511
1.00, 25.64511
1.05, 25.64511
1.10, 25.64511
1.15, 25.64511
1.20, 25.64511
1.25, 25.64511
1.30, 25.64511
1.35, 25.64511
1.40, 25.64511
1.45, 25.64511
1.50, 25.64511
1.55, 25.64511
1.60, 25.64511
1.65, 25.64511
1.70, 25.64511
1.75, 25.64511
1.80, 25.64511
1.85, 25.64511
1.90, 25.64511
1.95, 25.64511
2.00, 25.64511
2.05, 25.64511
